M/Z,Intensity
3.6385026,7.120915
3.6457969,7.0816993
3.6528696,7.0686275
3.6597208,7.0947712
3.6663505,7.0751634
3.6727585,7.0686275
3.678945,7.0718954
3.68491,7.0718954
3.6906533,7.0620915
3.6961751,7.0620915
3.7014754,7.0620915
3.706554,7.0588235
3.7114111,7.0588235
3.7160467,7.0620915
3.7204607,7.0490196
3.7246531,7.0261438
3.7286239,7.0228758
3.7323732,6.9738562
3.7359009,7.0359477
3.7392071,7.0915033
3.7422917,7.1045752
3.7451547,7.3071895
3.7477961,7.1993464
3.750216,7.1045752
3.7524144,7.0947712
3.7543911,7.4052288
3.7561463,7.3169935
3.75768,7.3660131
3.758992,7.496732
3.7600825,7.8202614
3.7609515,8.0098039
3.7615988,7.8431373
3.7620246,7.5490196
3.7622289,7.4803922
3.7622856,7.1928105
3.7625245,7.0653595
3.762985,7.0620915
3.763667,6.9803922
3.7645706,6.8137255
3.7656957,6.8267974
3.7670424,6.8594771
3.7686107,6.8039216
3.7704005,6.7941176
3.772412,6.8594771
3.7746449,6.9869281
3.7770995,7.1372549
3.7797756,7.3006536
3.7826732,7.375817
3.7857925,7.4542484
3.7891333,7.4411765
3.7926956,7.4673203
3.7964795,7.4542484
3.800485,7.4444444
3.8047121,7.4379085
3.8091607,7.4379085
3.8138309,7.4117647
3.8187226,7.3137255
3.823836,7.1895425
3.8291708,7.1503268
3.8347273,7.1862745
3.8405053,7.2777778
3.8465049,7.3169935
3.852726,7.3137255
3.8591687,7.2973856
3.865833,7.251634
3.8727188,7.2385621
3.8798262,7.254902
3.8871552,7.2614379
3.8947057,7.2124183
3.9024778,7.1764706
3.9104715,7.130719
3.9186867,7.0882353
3.9271235,7.0653595
3.9357818,7.0588235
3.9446617,7.0490196
3.9537632,7.0588235
3.9630863,7.0522876
3.9726309,7.0588235
3.9823971,7.0555556
3.9923848,7.0588235
4.0025941,7.0653595
4.013025,7.0915033
4.0236774,7.0882353
4.0345514,7.1078431
4.045647,7.130719
4.0569641,7.1797386
4.0685028,7.2385621
4.0802631,7.2385621
4.0922449,7.2320261
4.1044483,7.2712418
4.1168733,7.2875817
4.1295198,7.2679739
4.1423879,7.2352941
4.1554776,7.2124183
4.1687888,7.1993464
4.1823216,7.1895425
4.1960759,7.1862745
4.2100518,7.1568627
4.2242493,7.1666667
4.2386683,7.1437908
4.2533089,7.1111111
4.2681711,7.0882353
4.2832549,7.0947712
4.2985602,7.1078431
4.314087,7.1111111
4.3298355,7.130719
4.3458055,7.1797386
4.361997,7.1797386
4.3784101,7.2124183
4.3950448,7.248366
4.4119011,7.3137255
4.4289789,7.3496732
4.4462783,7.3366013
4.4637993,7.3104575
4.4815418,7.2810458
4.4995059,7.2875817
4.5176915,7.2287582
4.5360987,7.1993464
4.5547275,7.1764706
4.5735778,7.130719
4.5926497,7.1045752
4.6119432,7.0849673
4.6314583,7.0718954
4.6511949,7.0620915
4.671153,7.0784314
4.6913328,7.0686275
4.711734,7.0784314
4.7323569,7.0915033
4.7532013,7.1078431
4.7742673,7.0882353
4.7955549,7.1111111
4.817064,7.1176471
4.8387947,7.124183
4.8607469,7.1339869
4.8829208,7.1928105
4.9053161,7.2385621
